Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:41:58:337.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:41:58:513.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 176 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku faraon.txt znaleziono 203222 slow, w tym  30342 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|bacz~~c_______________________________________|2______________________________________|
|badacz________________________________________|1______________________________________|
|badaj~~_______________________________________|2______________________________________|
|badaj~~c______________________________________|1______________________________________|
|badaj~~cej____________________________________|1______________________________________|
|badali________________________________________|1______________________________________|
|badamy________________________________________|1______________________________________|
|badaniu_______________________________________|1______________________________________|
|bada~~________________________________________|5______________________________________|
|bagien________________________________________|1______________________________________|
|bagna_________________________________________|3______________________________________|
|bagnach_______________________________________|1______________________________________|
|bagnami_______________________________________|1______________________________________|
|bagnisko______________________________________|1______________________________________|
|bagnistych____________________________________|1______________________________________|
|baja~~________________________________________|1______________________________________|
|bajek_________________________________________|3______________________________________|
|bajka_________________________________________|1______________________________________|
|bajka~~~______________________________________|2______________________________________|
|bajki_________________________________________|2______________________________________|
|bajki~~~______________________________________|1______________________________________|
|bajkom________________________________________|1______________________________________|
|bakura________________________________________|4______________________________________|
|bakury________________________________________|1______________________________________|
|baldachiensis_________________________________|2______________________________________|
|baldachimem___________________________________|10_____________________________________|
|baldachimy____________________________________|1______________________________________|
|balet_________________________________________|1______________________________________|
|balist________________________________________|1______________________________________|
|balist~~______________________________________|1______________________________________|
|balkon________________________________________|2______________________________________|
|balkonie______________________________________|1______________________________________|
|balkonu_______________________________________|3______________________________________|
|balowej_______________________________________|1______________________________________|
|balsamami_____________________________________|1______________________________________|
|balsamicznych_________________________________|1______________________________________|
|balsamiczn~~__________________________________|1______________________________________|
|balsamista____________________________________|2______________________________________|
|balsamistom___________________________________|1______________________________________|
|balsamistom~~~________________________________|1______________________________________|
|balsamist~~w__________________________________|1______________________________________|
|balsami~~ci___________________________________|4______________________________________|
|balsamowali___________________________________|1______________________________________|
|balsamowania__________________________________|3______________________________________|
|balsamowano___________________________________|1______________________________________|
|balsamuj~~____________________________________|2______________________________________|
|balsam~~w_____________________________________|1______________________________________|
|balsam~~w~~~__________________________________|1______________________________________|
|balustrad~~___________________________________|2______________________________________|
|band__________________________________________|1______________________________________|
|banda_________________________________________|7______________________________________|
|bandami_______________________________________|1______________________________________|
|banda~~~______________________________________|1______________________________________|
|bandy_________________________________________|11_____________________________________|
|bandyci_______________________________________|1______________________________________|
|bandycka______________________________________|1______________________________________|
|bandycka~~~___________________________________|1______________________________________|
|bandyta_______________________________________|2______________________________________|
|bandytami_____________________________________|1______________________________________|
|bandyta~~~____________________________________|1______________________________________|
|bandytom______________________________________|1______________________________________|
|bandyt~~______________________________________|2______________________________________|
|bandyt~~w_____________________________________|1______________________________________|
|bandy~~~______________________________________|1______________________________________|
|band~~________________________________________|3______________________________________|
|bankier_______________________________________|20_____________________________________|
|bankiera______________________________________|6______________________________________|
|bankierem_____________________________________|2______________________________________|
|bankierowi____________________________________|1______________________________________|
|bankierowie___________________________________|1______________________________________|
|bankierzy_____________________________________|3______________________________________|
|bankier~~w____________________________________|1______________________________________|
|bankructwo____________________________________|2______________________________________|
|baobaby_______________________________________|2______________________________________|
|baobab~~w_____________________________________|1______________________________________|
|baraka________________________________________|1______________________________________|
|baralanensis__________________________________|2______________________________________|
|baran_________________________________________|1______________________________________|
|barana________________________________________|2______________________________________|
|baranie_______________________________________|1______________________________________|
|baraniej______________________________________|3______________________________________|
|baranimi______________________________________|1______________________________________|
|barani~~______________________________________|2______________________________________|
|baran~~w______________________________________|1______________________________________|
|baran~~w~~~___________________________________|1______________________________________|
|barbarzyniec__________________________________|1______________________________________|
|barbarzy~~ca__________________________________|6______________________________________|
|barbarzy~~cach________________________________|1______________________________________|
|barbarzy~~cami________________________________|3______________________________________|
|barbarzy~~com_________________________________|1______________________________________|
|barbarzy~~cy__________________________________|11_____________________________________|
|barbarzy~~c~~_________________________________|1______________________________________|
|barbarzy~~c~~w________________________________|2______________________________________|
|barbarzy~~c~~w~~~_____________________________|1______________________________________|
|barbarzy~~scy_________________________________|1______________________________________|
|barbarzy~~skich_______________________________|3______________________________________|
|barbarzy~~stwa________________________________|1______________________________________|
|barczyste_____________________________________|1______________________________________|
|bardziej______________________________________|41_____________________________________|
|bardziej~~~___________________________________|1______________________________________|
|bardzo________________________________________|238____________________________________|
|bardzo~~~_____________________________________|1______________________________________|
|barka_________________________________________|1______________________________________|
|barka~~~______________________________________|1______________________________________|
|barki_________________________________________|2______________________________________|
|bark~~________________________________________|1______________________________________|
|barw__________________________________________|2______________________________________|
|barwa_________________________________________|2______________________________________|
|barwach_______________________________________|1______________________________________|
|barwne________________________________________|3______________________________________|
|barwnie_______________________________________|1______________________________________|
|barwy_________________________________________|22_____________________________________|
|barwy~~~______________________________________|1______________________________________|
|barw~~________________________________________|6______________________________________|
|batalion~~w___________________________________|1______________________________________|
|batem_________________________________________|2______________________________________|
|baw___________________________________________|1______________________________________|
|bawe~~ny______________________________________|2______________________________________|
|bawe~~n~~_____________________________________|2______________________________________|
|bawi__________________________________________|5______________________________________|
|bawiono_______________________________________|3______________________________________|
|bawi~~________________________________________|18_____________________________________|
|bawi~~a_______________________________________|2______________________________________|
|bawi~~c_______________________________________|2______________________________________|
|bawi~~cych____________________________________|1______________________________________|
|bawi~~cymi____________________________________|1______________________________________|
|bawi~~em______________________________________|1______________________________________|
|bawi~~y_______________________________________|1______________________________________|
|bawi~~~~~_____________________________________|1______________________________________|
|bawo~~em______________________________________|1______________________________________|
|baw~~~~_______________________________________|3______________________________________|
|bazaltowy_____________________________________|1______________________________________|
|ba~~__________________________________________|10_____________________________________|
|ba~~a_________________________________________|1______________________________________|
