Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:44:22:776.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:44:22:846.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 70 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku pan-tadeusz.txt znaleziono 69053 slow, w tym  18795 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|bernardynie___________________________________|4______________________________________|
|bernardynka___________________________________|1______________________________________|
|bernardy~~ska_________________________________|1______________________________________|
|bernardy~~skie________________________________|1______________________________________|
|bernardy~~skim________________________________|1______________________________________|
|bernatowicze__________________________________|1______________________________________|
|ber~~y________________________________________|1______________________________________|
|bestyi________________________________________|3______________________________________|
|bety__________________________________________|1______________________________________|
|bez___________________________________________|93_____________________________________|
|bezbo~~na_____________________________________|1______________________________________|
|bezbo~~ny_____________________________________|1______________________________________|
|bezbronnego___________________________________|3______________________________________|
|bezbronni_____________________________________|1______________________________________|
|bezbronny_____________________________________|1______________________________________|
|bezbronnych___________________________________|1______________________________________|
|bezdennego____________________________________|1______________________________________|
|bezdzietny____________________________________|1______________________________________|
|beze__________________________________________|1______________________________________|
|bezece~~stwa__________________________________|1______________________________________|
|bezkarnie_____________________________________|1______________________________________|
|bezpiecze~~stwa_______________________________|1______________________________________|
|bezpiecznie___________________________________|1______________________________________|
|bezpieczniej__________________________________|2______________________________________|
|bezpieczny____________________________________|1______________________________________|
|bezprzyk~~adn~~_______________________________|1______________________________________|
|bezprzytomnie_________________________________|1______________________________________|
|bezskutecznej_________________________________|1______________________________________|
|bezstronny____________________________________|1______________________________________|
|bezw~~adn~~___________________________________|1______________________________________|
|bez~~ad_______________________________________|1______________________________________|
|bez~~adnie____________________________________|2______________________________________|
|bez~~adno~~ci~~_______________________________|1______________________________________|
|bez~~adn~~____________________________________|1______________________________________|
|be~~koce______________________________________|1______________________________________|
|biada_________________________________________|3______________________________________|
|biada~~_______________________________________|1______________________________________|
|biali_________________________________________|1______________________________________|
|bia~~a________________________________________|12_____________________________________|
|bia~~awe______________________________________|1______________________________________|
|bia~~awy______________________________________|1______________________________________|
|bia~~e________________________________________|20_____________________________________|
|bia~~ego______________________________________|1______________________________________|
|bia~~ej_______________________________________|3______________________________________|
|bia~~ek_______________________________________|1______________________________________|
|bia~~opiotrowiczem____________________________|1______________________________________|
|bia~~opiotrowiczowi___________________________|1______________________________________|
|bia~~opucha___________________________________|1______________________________________|
|bia~~owie~~y__________________________________|1______________________________________|
|bia~~o~~ci~~__________________________________|1______________________________________|
|bia~~y________________________________________|8______________________________________|
|bia~~ych______________________________________|5______________________________________|
|bia~~ym_______________________________________|4______________________________________|
|bia~~ymi______________________________________|2______________________________________|
|bia~~~~_______________________________________|8______________________________________|
|bibliotek~~___________________________________|1______________________________________|
|bicia_________________________________________|1______________________________________|
|biczem________________________________________|2______________________________________|
|biczem~~~_____________________________________|1______________________________________|
|biec__________________________________________|1______________________________________|
|bieda_________________________________________|4______________________________________|
|biedak________________________________________|1______________________________________|
|biedna________________________________________|5______________________________________|
|biedne________________________________________|1______________________________________|
|biednemu______________________________________|1______________________________________|
|biedni________________________________________|1______________________________________|
