Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:49:19:29.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:49:19:154.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 125 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku ziemia-obiecana.txt znaleziono 179358 slow, w tym  28742 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|argumentowa~~em_______________________________|1______________________________________|
|arietk~~______________________________________|1______________________________________|
|arkadii_______________________________________|3______________________________________|
|arkadii~~~____________________________________|1______________________________________|
|arkusze_______________________________________|1______________________________________|
|armat_________________________________________|1______________________________________|
|armaty________________________________________|3______________________________________|
|armie_________________________________________|1______________________________________|
|aroganckim____________________________________|1______________________________________|
|aroganck~~____________________________________|1______________________________________|
|aromatami_____________________________________|1______________________________________|
|aronsohn______________________________________|1______________________________________|
|arszenik______________________________________|1______________________________________|
|arszenikow~~__________________________________|1______________________________________|
|artyku~~______________________________________|1______________________________________|
|artyku~~y_____________________________________|1______________________________________|
|artysty_______________________________________|1______________________________________|
|artystycznie__________________________________|1______________________________________|
|artystyczny___________________________________|1______________________________________|
|artystycznym__________________________________|1______________________________________|
|aryjczyk______________________________________|1______________________________________|
|aryjska_______________________________________|1______________________________________|
|arystokracji__________________________________|1______________________________________|
|arystokrata___________________________________|1______________________________________|
|arystokratyczna_______________________________|1______________________________________|
|arystokratyczny_______________________________|1______________________________________|
|arystokratyczn~~______________________________|3______________________________________|
|asa___________________________________________|1______________________________________|
|ascetyczn~~___________________________________|1______________________________________|
|asekuracja____________________________________|3______________________________________|
|asekuracji____________________________________|3______________________________________|
|asekuracj~~___________________________________|2______________________________________|
|asekuracyjne__________________________________|1______________________________________|
|asekuracyjnego________________________________|1______________________________________|
|asekuracyjnym_________________________________|1______________________________________|
